"","id","veg","log_ud_wt","prop_area","sel"
"1","15.01","Beach",-5.79142708301015,0.0409310507806053,-0.0378774294861809
"2","15.01","Beachgrass dune",-3.16510223230516,0.125517988579354,-0.083308162193683
"3","15.01","Brackish marsh",-2.0892486748927,0.0766859025690163,0.0470941974178124
"4","15.01","Coastal scrub",-2.47856348894475,0.195258084991404,-0.1113944748837
"5","15.01","Conifer forest",-1.27894798107006,0.195188219394387,0.0831417354741139
"6","15.01","Freshwater marsh",-4.54501640520215,0.0016758897901043,0.00894410870149684
"7","15.01","Fruit tree",-5.89232643357021,0.000571749949163451,0.00218879704231696
"8","15.01","Meadow",-1.72647278136271,0.0876547909164243,0.0902560440478975
"9","15.01","Pasture",-1.90252613341111,0.222833585292355,-0.0736423195327281
"10","15.01","Shrub swale",-2.33192032513917,0.0347704189092467,0.0623386679927029
"11","15.01","Wooded swale",-3.46826215515728,0.0189123188279406,0.0122588354199517
"12","15.02","Beach",-4.50099343173946,0.0839915387698201,-0.0728935727813761
"13","15.02","Beachgrass dune",-2.03097796809889,0.228621586437514,-0.0974144444533599
"14","15.02","Brackish marsh",-4.74386761914031,0.0301529670667709,-0.0214480533623014
"15","15.02","Coastal scrub",-1.35967602405994,0.335871920288638,-0.079127977947527
"16","15.02","Conifer forest",-1.96590484457074,0.126491349966503,0.0135377747148239
"17","15.02","Meadow",-2.5895174324659,0.051809723277964,0.0232465277795323
"18","15.02","Pasture",-2.30826208291025,0.0902698285801181,0.00916408079398873
"19","15.02","Shrub swale",-1.59091327858897,0.0300126950153547,0.173726760842947
"20","15.02","Wooded swale",-2.6038618895643,0.022778390597317,0.0512089044132729
"21","15.03","Beachgrass dune",-5.72979184966267,0.0264490929388536,-0.0232013397546743
"22","15.03","Coastal scrub",-2.28388218688917,0.126032473820509,-0.024144583725904
"23","15.03","Conifer forest",-2.47424342909488,0.288217603687352,-0.203990914066821
"24","15.03","Freshwater marsh",-2.71122457433137,0.0749947345976904,-0.0085393572799173
"25","15.03","Meadow",-1.21461272162643,0.165991791317181,0.130833154602451
"26","15.03","Shrub swale",-0.819136721880759,0.307242020933467,0.133570012745774
"27","15.03","Wooded swale",-5.02900648822397,0.0110722827049464,-0.00452697252090755
"28","15.04","Beachgrass dune",-11.6161204215059,4.52402881779331e-05,-3.62207770271834e-05
"29","15.04","Coastal scrub",-2.92476654426959,0.0578180840385765,-0.00414086233347985
"30","15.04","Conifer forest",-1.74970798906993,0.292996780761328,-0.119172086010427
"31","15.04","Freshwater marsh",-4.06546167081725,0.0353504309567826,-0.0181953635056864
"32","15.04","Meadow",-1.41626456538801,0.126668521499035,0.115950090779517
"33","15.04","Shrub swale",-0.697632270671862,0.469101150382411,0.0286613260598624
"34","15.04","Wooded swale",-4.20284949231144,0.018019792073689,-0.00306688421275955
"35","15.05","Beachgrass dune",-9.02771703788377,0.00142056649190371,-0.00130053027316317
"36","15.05","Brackish marsh",-1.63612387623434,0.148325248226698,0.0464081438113962
"37","15.05","Coastal scrub",-2.48577439500058,0.0581402680840723,0.0251207845133798
"38","15.05","Conifer forest",-1.51743348413682,0.314375195179031,-0.095101259754845
"39","15.05","Freshwater marsh",-4.44016271031146,0.00553808360198905,0.00625593575307018
"40","15.05","Fruit tree",-6.10197655245447,0.00188938379874199,0.000349055153335195
"41","15.05","Meadow",-1.47722525626723,0.222748840186399,0.00552136157204025
"42","15.05","Pasture",-2.85485121307448,0.136323546709213,-0.0787591613975488
"43","15.05","Shrub swale",-2.01117186120925,0.0777233887880961,0.0561083617150145
"44","15.05","Wooded swale",-2.674913518167,0.0335154789338561,0.0353973089073207
"45","15.06","Beach",-2.36852437683314,0.234411018341068,-0.140792247912134
"46","15.06","Beachgrass dune",-2.39102445643843,0.217836920827559,-0.126301059502889
"47","15.06","Coastal scrub",-2.22339779622262,0.274386453483742,-0.166145750040846
"48","15.06","Conifer forest",-5.23764877915121,0.0457406715190708,-0.0404279379467904
"49","15.06","Freshwater marsh",-2.78601284652166,0.00594983295726805,0.0557167656325357
"50","15.06","Meadow",-0.915502910813777,0.144393841411014,0.255921411178146
"51","15.06","Shrub swale",-1.42999516187826,0.0772812614602775,0.162028818591978
"52","15.07","Coastal scrub",-2.62376177623964,0.108030408011056,-0.0355008987932736
"53","15.07","Conifer forest",-0.789635073448901,0.502746081355732,-0.0487356358342521
"54","15.07","Freshwater marsh",-2.55791597690874,0.0989142804487957,-0.0214482671515416
