"","id","veg","log_ud_wt","log_avail","sel"
"1","15.03","Beachgrass dune",-2.79099873137018,-3.04748376410468,0.256485032734501
"2","15.03","Coastal scrub",-1.10868259571266,-2.00677986750263,0.898097271789969
"3","15.03","Conifer forest",-1.39568084530684,-1.45824917642927,0.0625683311224217
"4","15.03","Freshwater marsh",-3.45707062382612,-2.6614944588801,-0.795576164946019
"5","15.03","Meadow",-1.51547684508782,-1.42850766723887,-0.0869691778489476
"6","15.03","Shrub swale",-2.32329762893882,-1.31718279145561,-1.00611483748321
"7","15.03","Wooded swale",-4.43906949244432,-4.82100663069262,0.381937138248298
"8","15.07","Coastal scrub",-2.80223471759187,-2.22534253582935,-0.576892181762522
"9","15.07","Conifer forest",-0.86579632115364,-0.687670044778984,-0.178126276374656
"10","15.07","Freshwater marsh",-2.58486096881563,-2.31350165796825,-0.271359310847378
"11","15.07","Meadow",-4.21288596871558,-3.91679176105631,-0.296094207659273
"12","15.07","Shrub swale",-4.70803021352443,-3.59670491652877,-1.11132529699566
"13","15.07","Wooded swale",-0.868985942017704,-1.41473304070437,0.545747098686669
"14","15.02","Beach",-2.51453954529959,-2.49721224662373,-0.0173272986758608
"15","15.02","Beachgrass dune",-0.813457110607177,-1.41989298988364,0.606435879276459
"16","15.02","Brackish marsh",-18.4106400931325,-3.5256641338528,-14.8849759592797
"17","15.02","Coastal scrub",-0.759448091926546,-1.10471524123396,0.345267149307416
"18","15.02","Conifer forest",-4.84693735114763,-2.0806122454131,-2.76632510573453
"19","15.02","Meadow",-18.4106400931325,-2.99546301995322,-15.4151770731793
"20","15.02","Pasture",-18.4106400931325,-2.43046112686691,-15.9801789662656
"21","15.02","Shrub swale",-18.4106400931325,-3.51159040433088,-14.8990496888017
"22","15.02","Wooded swale",-18.4106400931325,-3.79443383419766,-14.6162062589349
"23","15.12","Beach",-3.17247314718598,-2.76019010335989,-0.412283043826086
"24","15.12","Beachgrass dune",-1.39636080390161,-1.71151677022201,0.315155966320398
"25","15.12","Brackish marsh",-18.4390491395835,-4.55777860147205,-13.8812705381114
"26","15.12","Coastal scrub",-0.682478399922566,-1.15373105847573,0.471252658553159
"27","15.12","Conifer forest",-1.58538911170163,-1.20602245643939,-0.379366655262246
"28","15.12","Freshwater marsh",-18.4390491395835,-6.23055789394868,-12.2084912456348
"29","15.12","Fruit tree",-18.4390491395835,-7.30595567114531,-11.1330934684382
"30","15.12","Meadow",-10.0189926520393,-2.48141034140035,-7.53758231063891
"31","15.12","Pasture",-18.4390491395835,-5.48022763106666,-12.9588215085168
"32","15.12","Shrub swale",-8.02082872556028,-3.20975528646124,-4.81107343909905
"33","15.13","Beach",-5.59671331491528,-4.22248636227327,-1.37422695264201
"34","15.13","Beachgrass dune",-0.930866753929696,-1.40940994641235,0.478543192482656
"35","15.13","Coastal scrub",-0.566839033572987,-1.15312720542034,0.586288171847349
"36","15.13","Conifer forest",-3.94254225434434,-1.58168757321328,-2.36085468113106
"37","15.13","Freshwater marsh",-10.5561622278664,-3.1487578573295,-7.40740437053693
"38","15.13","Meadow",-4.42621286996125,-2.52596376530026,-1.90024910466099
"39","15.13","Shrub swale",-5.69057908683139,-2.36585033437561,-3.32472875245578
"40","15.13","Wooded swale",-18.427475344918,-5.80298699275153,-12.6244883521665
"41","15.14","Beach",-11.99928652486,-3.81031884778985,-8.18896767707019
"42","15.14","Beachgrass dune",-2.94623500797038,-1.74935544766778,-1.1968795603026
"43","15.14","Brackish marsh",-2.40810098392362,-3.14529735916671,0.737196375243087
"44","15.14","Coastal scrub",-1.84219787012983,-1.2189979547309,-0.623199915398934
"45","15.14","Conifer forest",-1.53454759910995,-1.60618916283246,0.0716415637225067
"46","15.14","Freshwater marsh",-5.19601427456987,-6.30847221704721,1.11245794247733
"47","15.14","Fruit tree",-7.38992884422769,-7.38386999424383,-0.00605884998385253
"48","15.14","Meadow",-0.994897839267761,-2.41486237998663,1.41996454071886
"49","15.14","Pasture",-4.31951302899314,-2.22452365233601,-2.09498937665713
"50","15.14","Shrub swale",-3.56895158251918,-3.11782080517693,-0.451130777342251
"51","15.14","Wooded swale",-2.7174982969028,-3.88500295966965,1.16750466276686
"52","15.01","Beach",-3.19806995609706,-3.25911557197641,0.061045615879352
"53","15.01","Beachgrass dune",-1.81540630395314,-2.13629424140139,0.320887937448251
"54","15.01","Brackish marsh",-6.67128485966528,-2.63106753937448,-4.0402173202908
"55","15.01","Coastal scrub",-0.616058676188561,-1.69608635439169,1.08002767820313
"56","15.01","Conifer forest",-1.6131428880958,-1.59557366339729,-0.017569224698516
"57","15.01","Freshwater marsh",-5.83511065666323,-6.45273382272523,0.617623166062005
"58","15.01","Fruit tree",-6.62424159192924,-7.52813159992186,0.903890007992624
"59","15.01","Meadow",-3.27664381897413,-2.49684010955537,-0.779803709418752
"60","15.01","Pasture",-8.44462004622724,-1.38488169635865,-7.05973834986859
"61","15.01","Shrub swale",-4.30100322811111,-3.42059973901068,-0.880403489100429
"62","15.01","Wooded swale",-11.0646705256476,-4.02926456534768,-7.03540596029989
"63","15.11","Coastal scrub",-2.07320446895833,-2.84825349321145,0.775049024253122
"64","15.11","Conifer forest",-0.982794791212954,-1.19463994480718,0.211845153594227
"65","15.11","Freshwater marsh",-2.48756097793283,-2.29931034433273,-0.188250633600096
"66","15.11","Meadow",-2.08040015683406,-1.99040587434025,-0.0899942824938083
"67","15.11","Shrub swale",-1.79040613013913,-1.6774010340629,-0.11300509607623
"68","15.11","Wooded swale",-2.07888774759576,-1.53519051013918,-0.54369723745658
"69","16.15","Brackish marsh",-9.76968696608694,-2.60814862817333,-7.16153833791361
"70","16.15","Coastal scrub",-3.29341141033758,-2.82014024224279,-0.473271168094799
"71","16.15","Conifer forest",-0.672312451153884,-0.744391441459579,0.0720789903056948
"72","16.15","Freshwater marsh",-8.96204233366971,-5.63093303152169,-3.33110930214803
"73","16.15","Meadow",-0.886441730446903,-1.5270887367729,0.640647006325994
"74","16.15","Pasture",-5.04152670781847,-2.42441978898733,-2.61710691883114
"75","16.15","Shrub swale",-3.88170804514769,-3.0406193792157,-0.841088665931994
"76","16.15","Wooded swale",-4.34573316273032,-3.36328423212061,-0.98244893060971
"77","16.17","Beachgrass dune",-2.08108452489405,-1.65360834730615,-0.427476177587896
"78","16.17","Coastal scrub",-3.01416479937575,-2.7139691601009,-0.300195639274848
"79","16.17","Conifer forest",-3.97373973210144,-3.13800299643257,-0.835736735668867
"80","16.17","Freshwater marsh",-1.85647899270026,-2.49633553706693,0.639856544366669
"81","16.17","Meadow",-1.4914209930853,-1.46736528142481,-0.0240557116604883
"82","16.17","Shrub swale",-0.927470413818671,-0.982315890462991,0.0548454766443205
"83","16.17","Wooded swale",-3.49042136462001,-4.4534861653678,0.963064800747798
"84","16.18","Beachgrass dune",-3.98366218093141,-2.89386536075558,-1.08979682017583
"85","16.18","Coastal scrub",-1.64993726700688,-1.59760622423489,-0.0523310427719939
"86","16.18","Conifer forest",-1.69947384342223,-1.6232069799432,-0.0762668634790264
"87","16.18","Freshwater marsh",-2.57164775083202,-2.16067114906987,-0.410976601762146
"88","16.18","Meadow",-1.23199314870322,-1.55609883473087,0.324105686027643
"89","16.18","Shrub swale",-1.43371756957896,-1.51965411167049,0.0859365420915295
